Cale System,Text,,cale_system,N,Y,Electric Kettle
Child Lock,Text,,child_lock,N,Y,"Front Loader
Washer & Dryer Combination"
Chilled Capacity (liter),Text,,chilled_capacity,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Freezers"
Coating Technology,Text,,coating_technology,N,Y,"Stream Generators
Steam Irons
Dry Irons"
Coating Inside With,Text,,coating_inside_with,N,Y,Rice Cookers
Continuous operation when the power goes out,Text,,continuos_operation,N,Y,Top Loader 1 Tub
Cooling Capacity (BTU),Dropdown,,cooling_capacity,Y,Y,"Cassette Type
Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Portable Air Conditioners
Service"
Cooking Timer (Min.),Text,,cooking_timer,N,Y,"Electric Fan
Microwave
Oven"
Compatible with,Text,,compatible_with,N,Y,"Chargers/Wall Chargers
Data Cables & Data Links"
Cover Mat,Text,,cover_mat,N,Y,"Bags
Cases & Covers"
Card Types,Text,,card_types,N,Y,"Accessories for Computers
Card Readers
Memory Cards
Camera Accessories
Flash Drives
External Hard Disks"
Capacity,Text/Dropdown,"GB
Liters",capacity,Y,Y,"Accessories for Computers
Coffee Maker
Oven
Microwave
Rice Cookers
Electric Kettle
Electric Pots
Camera Accessories
Flash Drives
External Hard Disks
Automatic"
Controlling button,Text,,controlling_button,N,Y,"Amplifier
Guitars"
Connector texture,Text,,connector_texture,N,Y,Headphones
Cord Collecting,Text,,cord_collecting,N,Y,Rice Cookers
Cable Length,Text,,cable_length,N,Y,"Headphones
Hand Free Kits
Chargers/Wall Chargers"
Car Adapter-Input,Text,,car_adapter_input,N,Y,Chargers/Wall Chargers
Coating,Text,,coating,N,Y,Guitars
Cancel Spinning,Text,,cancel_spinning,N,Y,Front Loader
Capacity of Mixing bowl,Text,,capacity_of_mixing_bowl,N,Y,Food processors & mixers
Dimension,Text,"1: cm
2: Include Stand",dimension,N,Y,"3D Blu-Ray Players
Air Purifiers
Air Purifiers Accessories
Amplifier
Audio Cables
Blenders & Juicers
Bluetooth & Wireless Speaker
Blu-ray Players
Built-in - Dish Washer
Camcorder Accessories
Camera Accessories
Cannister Vacuum Cleaners
Card Readers
Cases & Covers
Cassette Type
CCTV & IP Cameras
CD & DVDs
CD Players
Centre Speakers
Chargers/Wall Chargers
Coffee Maker
Data Cables & Data Links
Deep Fryers
Digital Frames & Albums
Dish Washers
Docks
Dry Irons
Dryer - Condensing
Dryer - Venting
DVD
Electric barbecue grill
Electric Fan
Electric Kettle
Electric Pots
Electric stove / Gas Range
Flash Drives
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Food processors & mixers
Free Stand - Dish Washer
Freezers
Front Loader
Guitars
Hair Dryers
Hand Free Kits
Handheld Vacuum Cleaners
Headphones
Hobs
Home Theater 2.1Ch
Home Theater 5.1Ch
Hood & HOB
Hoods
Karaoke Sets
Keyboards
LED TVs
Main Speakers
Massage Chair
Media Players
Memory Cards
Micro HiFi
Microwave
Microwave Accessories
Miscellaneous
Mouse
MP3
Other
Other Accessories
Others
Oven
Pianos
Plastic
Portable Air Conditioners
Portable Speakers
Power Banks
QLED TV
Radio
Receiver
Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Rice Cookers
Robotic Vacuum Cleaners
Service
Smart & 3D TV
Smart TVs
Soundbar
Soundbars
Speaker Sets
Speakers
Stainless
Steam Irons
Stick Vacuum Cleaners
Stream Generators
Subwoofers
Surround Sound
Table Top - Dish Washer
Top Loader 1 Tub
Top Loader 2 Tubs
Utilities Bag
Wall Mounted
Wall Type (Inverter)
Wall Type (Non-inverter)
Washer & Dryer Combination
Water Cooler
Water Heaters
Water Purifiers
Weight Scale
Wet & Dry Vacuum Cleaners
Wine & Beverage Cooler"
Display Screen,Text/Dropdown,Inches,display_screen,Y,Y,"QLED TV
4K Ultra HD TV
Smart & 3D TV
Smart TVs
LED TVs
Washer & Dryer Combination
Weight Scale
Camera Accessories
CD & DVDs"
DigitalTV,Text,,digital_tv,N,Y,"Smart & 3D TV
Smart TVs
LED TVs"
